Word,Count
*,935
the,469
,294
to,241
@param,238
@notice,224
of,214
The,151
address,121
is,96
if,91
a,74
@return,65
/,65
|,60
be,60
@dev,58
contract,52
in,52
for,52
tokens,49
from,47
and,46
this,44
that,40
not,39
token,34
amount,33
_addr,32
will,31
asset,31
an,31
buffer,28
TODO:,28
new,26
_config,25
role,24
Returns,24
Group,24
user,24
has,23
ERC20,23
signature,22
Gets,22
price,22
--->,22
Address,21
fee,20
with,20
TRUE,20
@title,20
Check,20
by,19
units,19
-,19
msg.sender,19
or,19
Constructor,18
are,18
method,18
FALSE,17
otherwise,17
period,17
it,16
//,16
Unexpectedly,16
flag,16
high,16
balance,15
allowed,15
was,15
Throws,15
USD,15
verified,15
time,14
account,14
OR,14
transfer,14
created,14
as,14
Registry,14
can,14
name,13
See,13
given,13
item,13
=,13
sender,12
(in,12
seconds,12
THE,12
digital,12
have,12
_owner,12
current,12
RBACData,12
data,12
functions,12
document,12
Amount,11
seconds),11
successful,11
Converts,11
purchase,11
1,11
added,11
addr,11
ticker,11
on,11
needs,11
function,11
total,11
contracts,10
If,10
Creates,10
which,10
owner,10
addresses,10
Proof,10
_amount,10
count,9
false,9
last,9
changes,9
true/false,9
type,9
claims,9
part,9
Sets,9
0,9
A,9
+,9
enabled,9
rank,9
Asset,9
belongs,9
(see,9
Element,9
_role,9
wallet,8
Deploys,8
number,8
hash,8
_operator,8
following,8
Checks,8
basic,8
AssetToken,8
Whether,8
platform,8
claimer,8
AccessControl,8
Step,8
Sudo,8
Validates,8
OF,8
smallest,8
called,8
IN,8
Adds,8
User,8
available,7
associated,7
Groups,7
\->,7
DS,7
From,7
transaction,7
Contract,7
query,7
match,7
FeeManager,7
control,7
return,7
Period,7
into,7
unit,7
backwards,7
true,7
memory,7
use,7
References,7
This,7
|->,7
DONE,7
per,7
better,7
Converted,7
Random,7
original,7
bitcar,6
ensure,6
around,6
_spender,6
..,6
cycles,6
length,6
enough,6
approval,6
_from,6
Admin,6
///,6
provides,6
duration,6
based,6
execution,6
cost,6
index,6
approved,6
Transfer,6
WAVE,6
roles,6
than,6
Owner,6
_to,6
Agent,6
we,6
\Remove,\,6
used,6
send,6
only,6
`_value`,6
SOFTWARE,6
append,6
compatibility,6
mechanism,6
_value,6
value,6
percentage,6
whitelist,6
claim,6
Validate,6
members,6
Name,6
call,6
bool,6
Software,6
do,6
Reference,6
bytes,5
Whitelist,5
here,5
limits,5
been,5
able,5
case,5
at,5
check,5
_feeName,5
within,5
Component,5
<STEP,5
param,5
possible,5
registry,5
security,5
\"\user\,5
would,5
wei,5
so,5
minimum,5
simplifies,5
authorization,5
access,5
approves,5
\permissions"\\,5
documents,5
CyclicPausable.sol),5
take,5
////,5
valid,5
functionality,5
but,5
specified,5
maximum,5
whitelisted,5
_user,5
implementation,5
submitted,5
all,5
Fee,5
trading,5
exceed,5
when,5
Changes,5
validation,5
BitCar,5
two,5
_maxCycles,5
existing,5
receive,5
waves:,5
allow,5
->,5
\numbers,\,4
Country,4
countries,4
\Group,\,4
copies,4
state,4
\addresses,\,4
throws,4
(_operator),4
base,4
\added,\,4
_s,4
NOT,4
counted,4
transferred,4
multiple,4
Oraclize,4
Solidity,4
agent,4
ANY,4
funds,4
limit,4
notice,4
does,4
standard,4
denomination,4
end,4
cycle,4
country,4
both,4
Using,4
any,4
Claimer,4
instance,4
retrieved,4
_r,4
`msg.sender`,4
map,4
Convert,4
expiration,4
times,4
set,4
NOTE:,4
before,4
onboarding,4
under,4
We,4
they,4
without,4
recipient,4
allows,4
AssetWhitelist,4
signed,4
reverts,4
no,4
_address,4
validated,4
///////////,4
`_to`,4
_v,4
voting,4
_currentValue,4
`_from`,4
remaining,4
_country,4
Number,4
sell,4
car,4
Platform,4
MIT,4
OTHER,4
numbers,4
Vote,4
(ERC20),4
approve,4
_tradingPeriod,4
_votingPeriod,4
_type,4
As,4
already,4
FOR,4
update,4
True,4
_minOwnershipPercentage,4
component,4
version,4
also,3
Are,3
Transfers,3
Token,3
\verified,\,3
0x2,3
receiver,3
_docHash,3
falls,3
group,3
Update,3
Public,3
array,3
solidity,3
Role,3
where,3
block.timestamp,3
idea,3
remain,3
supply,3
LOWER,3
GETTERS,3
---------->,3
timestamp,3
\so,\,3
needed,3
stored,3
_item,3
other,3
terms,3
symbol,3
_symbol,3
sizeof(buffer,3
_name,3
availability,3
contract's,3
Multisignature,3
\wei,\,3
UPPER,3
Verify,3
Memory,3
still,3
For,3
element,3
doing,3
get,3
assigned,3
whitelists,3
switching,3
implement,3
determine,3
Beregszaszi,3
------->,3
(c),3
keyword,3
Stores,3
\operations,\,3
compiler,3
overflow,3
one,3
testnet,3
using,3
message,3
Traders,3
Event,3
Obtains,3
Alex,3
wants,3
_item0,3
Copyright,3
unit),3
corresponds,3
|---->,3
key,3
Resizes,3
_data,3
reference,3
endpoint,3
sent,3
Length,3
protected,3
_item1,3
\---->,3
_token,3
delta,3
variables,3
Base,3
deal,3
because,3
replace,3
Removes,3
activated,3
default,3
expired,3
length),3
checked,3
0x1,3
corresponding,3
Ownable,3
Once,3
logs,3
\(@axic),\,3
updated,3
required,3
Pausable,3
32,3
please,3
Appends,3
R,3
funded,3
quorum,3
written,3
_buf,3
amounts,3
\------/,3
Hash,3
ownership,3
Agents,3
capacity,3
size,3
license,3
offset,3
_verified,3
/-------^-------\,3
over,3
byte,3
Car,3
^,3
ETH,3
always,3
verfified,2
resolution,2
CONNECTION,2
proof,2
transferFrom(),2
\address,\,2
allowances),2
INCLUDING,2
Modifier,2
\allowance(msg.sender,\,2
spender,2
vulernability,2
ERC20's,2
`_spender`,2
fees,2
AN,2
\POWR,\,2
\funds,\,2
permissions,2
\UpperWave,\,2
SUDO,2
_hash,2
decided,2
MODIFIERS,2
(or,2
compareAndApprove(),2
instead,2
person,2
WITH,2
WARNING:,2
LIABLE,2
\charge,\,2
information,2
Bitcar,2
While,2
Dmitry,2
assetRankTracker,2
EVENTS,2
recommended,2
Allowed,2
copy,2
initial,2
converted,2
ability,2
SHALL,2
_newOwner,2
Selling,2
newly,2
prevent,2
\approved,\,2
and/or,2
allowances,2
above,2
(Ledger,2
held,2
WARRANTY,2
Mikhail,2
DEALINGS,2
ether,2
substantial,2
rights,2
children,2
\"\owner"\\,2
Total,2
every,2
_destination,2
were,2
identified,2
_delay,2
considered,2
PURPOSE,2
\Software,\,2
subject,2
\restriction,\,2
look,2
owning,2
Trader,2
ledger,2
permission,2
gas,2
\FROM,\,2
Data,2
you,2
compareAndApprove,2
spend,2
add,2
constructor,2
WARRANTIES,2
obtaining,2
P2P,2
Array,2
portions,2
\publish,\,2
might,2
software,2
It,2
receiving,2
There,2
min,2
users,2
ARISING,2
AND,2
Before,2
FITNESS,2
holder,2
AUTHORS,2
being,2
withdraw,2
greater,2
make,2
mapping,2
Find,2
\unonce,\,2
previous,2
MSI,2
solidity-cborutils,2
allowance,2
Vladimirov,2
placed,2
'LP\x01',2
_rank,2
_assetWhitelistAddress,2
verify,2
belong,2
below,2
SETTERS,2
Calculates,2
1),2
\approve,\,2
sig1,2
`approve`),2
AssetRankTracker,2
args,2
including,2
\"\AS\,2
management,2
permit,2
copyright,2
ORACLIZE_API,2
Permission,2
Authorized,2
_assetTokenAddress,2
Constants,2
Performs,2
how,2
EXPRESS,2
eth,2
Determines,2
due,2
prefix,2
\distribute,\,2
deployer,2
(the,2
Get,2
WHETHER,2
locked,2
newOwner,2
came,2
checks,2
_totalTokens,2
voted,2
limitation,2
\sublicense,\,2
susceptible,2
must,2
request,2
TO,2
\copy,\,2
issued,2
\MERCHANTABILITY,\,2
_newValue,2
furnished,2
LIMITED,2
\LIABILITY,\,2
%,2
Index,2
\granted,\,2
https://docs.google.com/document/d/1YLPtQxZu1UAvO9cZ1O2RPXBbT0mooh4DYKjA_jp-RLM,2
USE,2
Key/Name,2
COPYRIGHT,2
\used,\,2
holders,2
BE,2
between,2
free,2
implements,2
condition,2
included,2
hereby,2
\KIND,\,2
whom,2
stop,2
lastUpdate,2
_approved,2
TOOD:,2
PARTICULAR,2
_url,2
successfully,2
approvee,2
structure,2
returns,2
Count,2
_delta,2
APPKEY1,2
NO,2
files,2
relaxed,2
process:,2
PROVIDED,2
reuse,2
_key,2
ID,2
obtained,2
_spender),2
DAMAGES,2
Keeping,2
follow,2
V,2
about,2
money,2
details,2
away,2
rejection,2
Paused,2
It's,2
storage,2
cover,2
Prefix,2
order,2
Khovratovich,2
TORT,2
\modify,\,2
==,2
status,2
Last,2
Time,2
Users,2
shall,2
callable,2
Copy,2
\OTHERWISE,\,2
WITHOUT,2
Remove,2
(Will,2
\CLAIM,\,2
BUT,2
\tokens,\,2
Roles,2
after,2
approve()),2
vulnerable,2
\CONTRACT,\,2
S,2
epoch,2
supply),2
\Furthermore,\,2
Implement,2
particular,2
paused,2
hold,2
EVENT,2
capabilities,2
admin,2
\IMPLIED,\,2
periodUsage,2
Units,2
\creation,\,2
NONINFRINGEMENT,2
success,2
IS,2
Disables,2
forever,2
_index,2
=>,2
uses,2
HOLDERS,2
persons,2
remove,2
(smallest,2
fully,2
\group,\,2
Make,2
OUT,2
submitting,2
\"\Software"\),\,2
\merge,\,2
own,2
maxCycles,2
\use,\,2
_feeMSI,2
aware,2
documentation,2
conditions:,2
Upon,2
Does,2
over-withdrawing,2
BEE,2
spent,2
transactions,2
values,2
their,2
1:,2
Voting,2
here:,2
\IS"\,\,2
Approved,2
correctly,2
\using,\,2
attaches,2
\contract,\,2
ACTION,2
create,2
store,1
Assets,1
validates,1
5:,1
BitcarTokens(User->Agent),1
commit,1
_tokenAmount,1
unsoldTokens,1
b,1
1],1
\option,\,1
0x40,1
Set,1
TimePausable,1
ratio,1
10^9,1
(context,1
https://github.com/ethereum/go-ethereum/issues/2053,1
b);,1
_assetToken,1
Validation,1
cancellation,1
Control,1
_agent,1
tokenPercentage+fees,1
purchases,1
https://github.com/oraclize/ethereum-examples,1
multisignature,1
our,1
deleted,1
\YP,\,1
\whitelist,\,1
assetToken.stopTrading();,1
appropriate,1
_periodUserLimit,1
_totalSupply,1
Log,1
groups,1
\disabled,\,1
ADMIN,1
6:,1
_idx,1
stopped,1
safe!,1
sign,1
_adminApprovalDelta,1
pragma,1
=|===========|===============|======|===============|======|===============|======|=,1
Symbol,1
BIRTH,1
{bytes32,1
accepted,1
whileExpires,1
\unpause,\,1
DocsTracker,1
dewhitelisted,1
funtionality,1
(i.e,1
managing,1
kovan,1
rinkeby,1
unique,1
\pause,\,1
operations,1
removed,1
lifespan,1
(it,1
child,1
compatible,1
component's,1
2,1
\standard,\,1
Entity,1
RandomDS,1
can't,1
Francisco,1
\period,\,1
oraclizeAPI,1
Ledger),1
write,1
owner/deployer,1
automatically,1
_typeN,1
handle,1
\functions,\,1
Port,1
s}{uint8,1
pad,1
Incompatible,1
out,1
compact,1
Math,1
APPROVAL,1
\(agent.transfer),\,1
assembly,1
Super,1
runs,1
totalSupply,1
fetch,1
eg:,1
try,1
Flags,1
overflow/underflow,1
assume,1
\and(mload(add(_sig,\,1
setPurchasePercentages,1
entity,1
mechanisms,1
going,1
(CODEHASH),1
among,1
wrong,1
instead:,1
sessionKey),1
happend,1
trigger,1
AssetBallot,1
h);,1
clients,1
Whitelisted,1
quantity,1
Percentages,1
Substracts,1
0xM1,1
address',1
\"\github.com/oraclize/ethereum-api/oraclizeAPI_0.4.sol"\\,1
rid,1
_type1,1
ide,1
\65)),\,1
Multiplies,1
lock,1
form,1
service,1
sets,1
10^0,1
_state,1
ones,1
CONSTRUCTOR,1
compare,1
live,1
_tokenPercentage,1
format,1
correspondent,1
what,1
oraclize,1
\LowerWave,\,1
'byte',1
\ChainLink,\,1
_itemM1,1
SmartContract,1
usd,1
(keyhash,1
0.9,1
Only,1
of:,1
CarTokens(Asset->User),1
uint8,1
Addresses,1
way,1
Priced,1
SafeMath,1
3>,1
IndexedEntities,1
sure,1
emit,1
Token/Eth,1
Dummy,1
Whitelists,1
Commitment,1
need,1
10^12,1
performing,1
https://github.com/smartcontractkit/solidity-cborutils,1
1000000;,1
Start,1
override,1
String,1
4>,1
random,1
code,1
(sha3),1
Buffer,1
expect,1
_upperWave,1
manager,1
Global,1
silence,1
compared,1
majority,1
len,1
mainnet,1
end-user,1
c,1
computed,1
28],1
v,1
exists,1
zeroes,1
CarToken,1
Cancels,1
working,1
SRL,1
Delay,1
10^6,1
writes,1
_itemMN,1
operation,1
app,1
(BitCar),1
\agent,\,1
Workflow:,1
h,1
https://github.com/ethereum/go-ethereum/issues/3731,1
modifier,1
3,1
infinite,1
Allocate,1
End,1
not.,1
Administrators,1
json,1
Minimum,1
uint256,1
WEI,1
immediately,1
2015-2016,1
enables,1
range,1
actually,1
Called,1
Callback,1
decimals,1
word-length,1
Integer,1
2:,1
measures,1
again,1
error,1
Activates,1
result,1
_claimer,1
Verified,1
json(https://api.coinbase.com/v2/prices/ETH-USD/spot).data.amount,1
ticks,1
5),1
BCT,1
\"\\x19Ethereum\,1
7:,1
step,1
LTD,1
DOES,1
State/Enabled,1
0xM2,1
verification,1
AGENTS,1
Should,1
give,1
ropsten,1
2018,1
dividing,1
url,1
\keccak256(delay,\,1
requestRemoveAddressFromSudoGroup,1
\"\_state"\\,1
\("\Asset"\\,1
different,1
production,1
\ecrecover,\,1
sessionPubkeyHash,1
@author,1
happen,1
sessionKeyHash,1
),1
\_source,\,1
throw,1
emergency,1
_queryId),1
(as,1
**,1
best,1
covert,1
`size`,1
exchange,1
too,1
overread,1
\maxCycles,\,1
Requests,1
sessionKeyHash),1
returned,1
_type2,1
Wei,1
TOKEN,1
fulfilled,1
deposit,1
\confirmed,\,1
\Message:\n32"\;\,1
storing,1
oraclize_setProof(proofType_TLSNotary,1
\"\Asset"\\,1
Trading,1
id,1
up,1
periodLimit,1
TEST,1
\created,\,1
(must,1
lets,1
Confirms,1
cyclic,1
tradingPeriod,1
BlockNumber,1
truncating,1
100%,1
Depending,1
License,1
timer,1
Simplify/Clean,1
\range,\,1
ethPercentage,1
\"\url"\\,1
\"\true"\\,1
r}{bytes32,1
balance),1
fact,1
handlers,1
Ticker,1
setters,1
pending,1
triggers,1
object,1
Add,1
stated,1
Initial,1
who,1
(implement,1
0xMN,1
\"\delta"\\,1
Duplicate,1
Eth,1
internal,1
Created,1
sessionKey,1
|--,1
example,1
After,1
1>,1
_countries,1
END,1
ASSET,1
finished,1
quotient,1
:=,1
funding,1
\this,\,1
>,1
context,1
Notes:,1
_ethPercentage,1
_prefix,1
Alternative,1
TRADERS,1
1--------|-------CYCLE,1
entered,1
Fees,1
previously,1
2--------|-------CYCLE,1
CALL,1
\verification,\,1
descriptions,1
pfx,1
M1,1
padded,1
escrow),1
10^3,1
_expiration,1
STATE,1
DEPENDENCIES,1
\parser,\,1
transfered,1
(10,1
some,1
assert(a,1
wait,1
ethereum-bridge,1
loading,1
3--------|,1
should,1
Strings,1
sha256,1
Supports,1
such,1
Reverts,1
transfers,1
BitcarTokens(User->FeeManager),1
\0,1,2,...,MN\,1
decimals);,1
\implemented,\,1
small,1
Storage,1
test,1
Validity,1
3:,1
\words,\,1
chunks,1
Allows,1
Expiration,1
Access,1
'and',1
CyclicPausable,1
start/stop,1
queried,1
\nbytes,\,1
making,1
1000000000000;,1
catching,1
attestation,1
don't,1
_buyAmount,1
usage,1
\"\Agent"\\,1
general,1
lastone,1
minuend),1
255),1
\transaction,\,1
browser-solidity,1
proofStorage_IPFS);,1
\0,1,2,...,M1\,1
select,1
return;,1
_docType,1
FUNCTIONS,1
periodUserLimit,1
Rank,1
Manages,1
modifiers,1
normal,1
(former,1
Signed,1
1000000000000000;,1
To,1
passed,1
necessary,1
RBAC.sol,1
\exists,\,1
\Owner,\,1
1000;,1
safemath),1
warnings,1
\already,\,1
ballot,1
progress,1
\sha3(pfx,\,1
_period,1
SETTINGS,1
|===,1
commitment,1
_transactionId,1
JSON,1
_feeBEE,1
back,1
2>,1
CT,1
1000000000;,1
token/fees/whitelist,1
signatures,1
response,1
\match,\,1
Begin,1
SOLC:,1
(,1
finney,1
non-transactional,1
more,1
Solidity's,1
DO,1
OpenZeppellin,1
geth,1
followed,1
Overflow,1
\[27,\,1
therefore,1
2016,1
DELTA,1
Submitts,1
solution:,1
Ltd,1
itself,1
Deal,1
Result,1
_claimerAddress,1
1000000000000000000;,1
solc,1
btc,1
mwei,1
digest,1
Sending,1
10^18,1
birthdate,1
VARIABLES,1
recovers,1
getters,1
see:,1
YP,1
v},1
\extensions),\,1
token(ERC20),1
Wallet,1
'mload8',1
subtrahend,1
Implicitly,1
`owner`,1
liking,1
executed,1
Grants,1
\reached,\,1
Compact,1
doesn't,1
buy,1
Prevent,1
division,1
obtain,1
1;,1
encapsules,1
Current,1
UpperWave,1
|-------CYCLE,1
More,1
\TimeStamp,\,1
second,1
calculations,1
Have,1
exploit,1
kwei,1
INCOMPATIBLE,1
removal,1
M2,1
issues,1
changed,1
In,1
TIME,1
attribute,1
Defines,1
smaller,1
space,1
keyhash,1
albeit,1
validate,1
MN,1
Data),1
config,1
\[0,\,1
_periodLimit,1
provenance,1
correct,1
creates,1
Request,1
notify,1
\signature,\,1
process,1
Maths,1
deployment,1
(!index),1
arguments,1
during,1
'_result',1
ether.camp,1
Need,1
\1>,\,1
multi-signature,1
skip,1
FIXME:,1
past,1
TLS,1
\requested,\,1
inline,1
let's,1
nicer,1
10^15,1
warning,1
params,1
payment,1
\means,\,1
_lowerWave,1
'mload',1
ECVerify,1
while,1
right,1
Here,1
triggered,1
field,1
LowerWave,1
====>,1
(Role-Based,1
transactionId,1
Giordano,1
\change,\,1
--|,1
until,1
first,1
import,1
safety,1
nbytes,1
costs,1
Silence,1
(@frangio),1
szabo,1
_minTokenPercentage,1
_itemM2,1
unlimited,1
4:,1
gwei,1
Library,1
\0,1,2,...,M2\,1
sha256(sig1),1
XPath,1
