File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
/bitcar/platform/Backend/\Migrations.sol,25,19,13,1,6,0,0,0,0,0
/bitcar/platform/Backend/\factories\AbstractFactory.sol,39,17,13,2,9,0,13,46,0,0
/bitcar/platform/Backend/\factories\AssetFactory.sol,28,15,10,1,6,0,7,19,0,0
/bitcar/platform/Backend/\factories\AssetRankTrackerFactory.sol,29,16,11,1,6,0,7,19,0,0
/bitcar/platform/Backend/\factories\AssetTokenFactory.sol,53,35,12,1,10,0,8,23,0,0
/bitcar/platform/Backend/\factories\AssetWhitelistFactory.sol,30,16,11,1,7,0,7,19,0,0
/bitcar/platform/Backend/\factories\BEEFactory.sol,30,16,11,1,7,0,7,19,0,0
/bitcar/platform/Backend/\factories\ClaimerFactory.sol,30,16,11,1,7,0,7,19,0,0
/bitcar/platform/Backend/\factories\FeeFactory.sol,30,16,11,1,7,0,7,19,0,0
/bitcar/platform/Backend/\factories\FeeManagerFactory.sol,30,16,11,1,7,0,7,19,0,0
/bitcar/platform/Backend/\governance\AccessControl.sol,165,75,55,5,21,6,69,341,0,0
/bitcar/platform/Backend/\governance\Admin.sol,42,17,12,1,6,0,19,82,0,0
/bitcar/platform/Backend/\governance\Agent.sol,42,17,12,1,6,0,19,82,0,0
/bitcar/platform/Backend/\governance\Groups.sol,94,31,29,0,8,0,55,246,0,0
/bitcar/platform/Backend/\governance\Multisignature.sol,113,66,56,5,20,0,27,131,0,0
/bitcar/platform/Backend/\governance\Priced.sol,27,7,5,0,4,0,16,97,0,0
/bitcar/platform/Backend/\governance\Sudo.sol,58,26,20,2,9,0,23,102,0,0
/bitcar/platform/Backend/\governance\Trader.sol,43,18,13,1,6,0,19,82,0,0
/bitcar/platform/Backend/\libs\ECVerify.sol,99,59,13,4,8,1,32,191,0,0
/bitcar/platform/Backend/\libs\IndexedEntities.sol,127,52,22,3,10,0,65,354,0,0
/bitcar/platform/Backend/\libs\Wallet.sol,39,17,13,1,8,0,14,61,0,0
/bitcar/platform/Backend/\libs\ownership\Ownable.sol,97,46,36,1,14,2,37,208,0,0
/bitcar/platform/Backend/\libs\rbac\RBACData.sol,114,53,40,7,14,4,47,284,0,0
/bitcar/platform/Backend/\libs\rbac\Roles.sol,69,28,19,2,11,0,30,116,0,0
/bitcar/platform/Backend/\lifecycle\AssetBallot.sol,160,101,58,7,19,1,40,199,0,0
/bitcar/platform/Backend/\lifecycle\CyclicPausable.sol,117,54,34,5,15,0,48,266,0,0
/bitcar/platform/Backend/\lifecycle\Pausable.sol,56,26,20,0,11,0,19,90,0,0
/bitcar/platform/Backend/\lifecycle\TimePausable.sol,105,47,35,3,16,0,42,213,0,0
/bitcar/platform/Backend/\platform\Asset.sol,424,212,164,18,83,1,129,792,0,0
/bitcar/platform/Backend/\platform\BEE.sol,114,64,52,6,30,4,20,87,0,0
/bitcar/platform/Backend/\platform\Claimer.sol,160,78,63,8,34,3,48,249,0,0
/bitcar/platform/Backend/\platform\Entity.sol,63,33,24,5,17,0,13,28,5,15
/bitcar/platform/Backend/\platform\Fee.sol,64,39,31,2,18,0,7,26,0,0
/bitcar/platform/Backend/\platform\FeeManager.sol,169,87,66,3,35,0,47,218,0,0
/bitcar/platform/Backend/\platform\Registry.sol,40,21,16,1,8,0,11,61,0,0
/bitcar/platform/Backend/\platform\Ticker.sol,130,70,56,7,29,7,31,185,2,20
/bitcar/platform/Backend/\platform\TickerDecentralized.sol,150,71,55,9,24,1,55,286,0,0
/bitcar/platform/Backend/\platform\interfaces\IAsset.sol,33,27,18,0,6,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\IAssetRankTracker.sol,18,12,6,0,6,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\IAssetWhitelist.sol,10,6,5,0,4,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\IBEE.sol,23,10,9,0,9,0,4,22,0,0
/bitcar/platform/Backend/\platform\interfaces\IClaimer.sol,13,7,6,0,6,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\IFee.sol,13,9,8,0,4,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\IFeeManager.sol,9,7,6,0,2,0,0,0,0,0
/bitcar/platform/Backend/\platform\interfaces\ITicker.sol,22,15,14,0,7,0,0,0,0,0
/bitcar/platform/Backend/\platform\kyc\DocsTracker.sol,149,99,59,2,11,0,39,199,0,0
/bitcar/platform/Backend/\platform\ranktracker\AssetRankTracker.sol,148,79,59,9,34,0,35,192,0,0
/bitcar/platform/Backend/\platform\ranktracker\RankTracker.sol,32,15,11,1,6,0,11,57,0,0
/bitcar/platform/Backend/\token\Asset\AssetToken.sol,123,89,43,3,11,1,23,169,0,0
/bitcar/platform/Backend/\token\Asset\BaseAssetToken.sol,240,147,80,20,33,3,60,473,0,0
/bitcar/platform/Backend/\token\Asset\IAssetToken.sol,64,18,17,0,16,0,30,270,0,0
/bitcar/platform/Backend/\token\Platform\IPlatformToken.sol,39,11,10,0,9,0,19,186,0,0
/bitcar/platform/Backend/\token\Platform\PlatformToken.sol,107,62,49,13,19,2,26,222,0,0
/bitcar/platform/Backend/\vendor\SafeMath.sol,48,25,19,6,6,1,17,91,0,0
/bitcar/platform/Backend/\vendor\usingOraclize.sol,1347,1070,805,213,130,48,147,1181,26,195
/bitcar/platform/Backend/\whitelist\AssetWhitelist.sol,128,73,56,8,31,1,24,111,0,0
/bitcar/platform/Backend/\whitelist\Whitelist.sol,45,21,14,4,9,0,15,85,0,0
